n,T(n)
0,0.0020416
1,0.0321412
2,0.0073948
3,0.0081718
4,0.0108622
5,0.0146118
6,0.0111056
7,0.00914
8,0.0070248
9,0.006817
10,0.0079882
11,0.0075732
12,0.0083766
13,0.0092672
14,0.0137394
15,0.0086922
16,0.0062748
17,0.0073598
18,0.0585844
19,0.00419
20,0.0051102
21,0.025688
22,0.0074828
23,0.0029558
24,0.0030308
25,0.006682
26,0.003513
27,0.0031626
28,0.0036762
29,0.0040906
30,0.0132422
31,0.0053402
32,0.0049818
33,0.0036452
34,0.0044936
35,0.0041994
36,0.0038244
37,0.0046928
38,0.0065078
39,0.0063302
40,0.0076634
41,0.0068838
42,0.0074804
43,0.0073088
44,0.0079482
45,0.0078296
46,0.00792
47,0.0080288
48,0.00809
49,0.0106276
50,0.0105536
51,0.0092452
52,0.0094666
53,0.0098942
54,0.0099268
55,0.0096682
56,0.0104302
57,0.0107
58,0.0111808
59,0.0105786
60,0.0110346
61,0.0112718
62,0.0113508
63,0.0110622
64,0.0465294
65,0.0117502
66,0.0111856
67,0.0114246
68,0.009497
69,0.0089372
70,0.0109896
71,0.0137516
72,0.0131976
73,0.0129352
74,0.0099214
75,0.0135702
76,0.0133062
77,0.0541946
78,0.009521
79,0.0096184
80,0.0113456
81,0.0114526
82,0.0145194
83,0.0138064
84,0.0098932
85,0.0098488
86,0.0142018
87,0.0142078
88,0.0423624
89,0.0136178
90,0.0142218
91,0.0112056
92,0.0107096
93,0.0115768
94,0.0127416
95,0.0137088
96,0.011429
97,0.0129536
98,0.0157488
99,0.0581912
100,0.0178632
101,0.0139442
102,0.0140872
103,0.0129994
104,0.0124716
105,0.0171108
106,0.017877
107,0.0184934
108,0.0161778
109,0.015151
110,0.0156684
111,0.0173192
112,0.013566
113,0.0120744
114,0.0124128
115,0.0122746
116,0.0115996
117,0.0113718
118,0.0124712
119,0.0128974
120,0.014503
121,0.012916
122,0.0137788
123,0.0130418
124,0.0130614
125,0.0130542
126,0.0136252
127,0.013624
128,0.0133002
129,0.0136414
130,0.0133008
131,0.013354
132,0.0138586
133,0.013682
134,0.0176132
135,0.021768
136,0.0185452
137,0.0150464
138,0.0145316
139,0.0156648
140,0.015478
141,0.0161294
142,0.0165462
143,0.020503
144,0.0148186
145,0.0174434
146,0.0204436
147,0.0167008
148,0.0157324
149,0.0149916
150,0.0150008
151,0.0158846
152,0.0162336
153,0.0155326
154,0.0161592
155,0.0163554
156,0.0158174
157,0.0168458
158,0.0158092
159,0.017038
160,0.0172824
161,0.0162204
162,0.016523
163,0.0178598
164,0.0205594
165,0.0169786
166,0.0187936
167,0.0174002
168,0.0175798
169,0.0177978
170,0.0185868
171,0.020832
172,0.0262382
173,0.0199642
174,0.0188434
175,0.0192312
176,0.0184506
177,0.0185478
178,0.0182186
179,0.0185456
180,0.0188944
181,0.0203846
182,0.0197302
183,0.019986
184,0.022403
185,0.020617
186,0.0306356
187,0.027067
188,0.0202724
189,0.0204954
190,0.0206672
191,0.0219584
192,0.021173
193,0.0209726
194,0.0284364
195,0.02319
196,0.0208882
197,0.024321
198,0.0218422
199,0.021305
200,0.0220802
201,0.0217632
202,0.0226126
203,0.0243556
204,0.0285028
205,0.0234488
206,0.022352
207,0.023603
208,0.0227616
209,0.0226798
210,0.0234496
211,0.098307
212,0.0232682
213,0.023803
214,0.0261618
215,0.0243396
216,0.0261848
217,0.0235896
218,0.0248038
219,0.0247806
220,0.0245018
221,0.02455
222,0.02529
223,0.0260928
224,0.0249016
225,0.0252646
226,0.0260282
227,0.0266134
228,0.0262552
229,0.0265674
230,0.0245826
231,0.027242
232,0.0276286
233,0.0270274
234,0.025906
235,0.0259834
236,0.026966
237,0.0272506
238,0.0265354
239,0.027009
240,0.027193
241,0.0288912
242,0.0286294
243,0.0279672
244,0.0272786
245,0.0278676
246,0.0286642
247,0.0333994
248,0.0308472
249,0.0334802
250,0.0768814
251,0.0291858
252,0.0295472
253,0.0295358
254,0.0296798
255,0.0330842
256,0.0309078
257,0.0331944
258,0.0302934
259,0.0300302
260,0.0313496
261,0.0349364
262,0.0351394
263,0.0302422
264,0.0295218
265,0.0322688
266,0.0311432
267,0.031783
268,0.0320308
269,0.0326148
270,0.0316934
271,0.036136
272,0.0315622
273,0.0327538
274,0.032935
275,0.0346846
276,0.0337492
277,0.0347382
278,0.0337974
279,0.0334286
280,0.0327994
281,0.0327718
282,0.0333354
283,0.0340176
284,0.0340788
285,0.1274498
286,0.0333508
287,0.033206
288,0.0366826
289,0.0340686
290,0.0339862
291,0.0353572
292,0.0355194
293,0.0365462
294,0.0345094
295,0.0341778
296,0.0345874
297,0.0345202
298,0.0356868
299,0.0368498
300,0.0352938
